id;Klient;Kwota;Pracownik;Czas
2660;449;0,62;2;2017-11-16 13:29
2661;304;1,31;1;2017-11-16 14:18
2662;526;1,23;2;2017-11-16 15:22
2663;487;1,97;2;2017-11-16 16:06
2664;348;1,98;3;2017-11-16 17:12
2665;148;0,01;1;2017-11-16 17:50
2666;79;2,48;3;2017-11-16 19:04
2667;665;2,43;3;2017-11-16 19:06
2668;500;1,21;1;2017-11-16 20:01
2669;654;1,7;3;2017-11-16 20:43
2670;509;1,95;1;2017-11-16 22:10
2671;54;2,5;3;2017-11-16 22:32
2672;436;1,15;1;2017-11-16 23:01
2673;559;1,49;1;2017-11-16 23:32
2674;463;0,8;2;2017-11-16 23:56
2675;145;0,31;2;2017-11-17 00:58
2676;690;0,21;1;2017-11-17 01:34
2677;277;1;2;2017-11-17 01:38
2678;121;1,25;2;2017-11-17 01:45
2679;286;1,78;2;2017-11-17 03:04
2680;307;1,93;3;2017-11-17 03:55
2681;310;3,4;2;2017-11-17 04:14
2682;20;0,55;3;2017-11-17 04:47
2683;13;2,17;3;2017-11-17 05:45
2684;182;2,97;2;2017-11-17 06:11
2685;244;0,81;3;2017-11-17 06:35
2686;498;0,39;3;2017-11-17 08:04
2687;64;1,58;2;2017-11-17 08:25
2688;631;1,52;3;2017-11-17 09:45
2689;3;3,13;3;2017-11-17 11:09
2690;172;3,06;3;2017-11-17 11:14
2691;497;1,59;2;2017-11-17 11:58
2692;369;0,51;3;2017-11-17 13:19
2693;296;2,78;2;2017-11-17 14:26
2694;234;0,53;1;2017-11-17 15:06
2695;309;2,07;3;2017-11-17 16:28
2696;332;0,24;3;2017-11-17 17:05
2697;613;2,92;2;2017-11-17 18:25
2698;483;3,15;2;2017-11-17 19:35
2699;341;1,07;1;2017-11-17 20:02
2700;461;1,68;1;2017-11-17 20:33
2701;101;3,27;1;2017-11-17 21:53
2702;452;0,16;3;2017-11-17 22:13
2703;519;0,58;3;2017-11-17 23:38
2704;340;0,76;3;2017-11-18 00:14
2705;549;3,22;2;2017-11-18 00:24
2706;144;1,29;1;2017-11-18 01:46
2707;58;0,4;2;2017-11-18 03:03
2708;532;0,93;2;2017-11-18 03:38
2709;677;1,06;3;2017-11-18 05:02
2710;516;1,86;1;2017-11-18 05:22
2711;7;1,18;1;2017-11-18 06:19
2712;313;0,28;1;2017-11-18 06:49
2713;624;0,7;3;2017-11-18 07:31
2714;125;0,66;1;2017-11-18 07:43
2715;517;2,85;3;2017-11-18 07:56
2716;291;1,87;2;2017-11-18 08:22
2717;171;3,4;3;2017-11-18 09:26
2718;383;3,36;1;2017-11-18 09:57
2719;120;2,98;2;2017-11-18 11:20
2720;74;1,32;2;2017-11-18 12:50
2721;502;3,07;1;2017-11-18 13:13
2722;134;0,18;1;2017-11-18 13:29
2723;398;2,56;3;2017-11-18 13:54
2724;672;0,72;2;2017-11-18 14:52
2725;691;0,62;3;2017-11-18 14:52
2726;415;0,27;2;2017-11-18 15:12
2727;461;1,78;1;2017-11-18 15:31
2728;455;1,87;2;2017-11-18 16:30
2729;397;1,23;3;2017-11-18 16:31
2730;452;2,21;3;2017-11-18 17:17
2731;690;2,42;2;2017-11-18 17:53
2732;196;2,86;3;2017-11-18 18:49
2733;163;2,28;3;2017-11-18 18:59
2734;500;2,84;3;2017-11-18 19:35
2735;143;2,03;3;2017-11-18 21:03
2736;36;2,83;2;2017-11-18 21:22
2737;502;2,24;3;2017-11-18 22:43
2738;262;0,09;2;2017-11-18 23:50
2739;73;2,56;2;2017-11-19 00:12
2740;6;0,56;2;2017-11-19 01:19
2741;267;2,1;3;2017-11-19 01:35
2742;357;2,18;3;2017-11-19 02:50
2743;229;0,39;3;2017-11-19 03:48
2744;440;2,17;2;2017-11-19 04:19
2745;495;2,08;2;2017-11-19 04:58
2746;530;1,47;3;2017-11-19 06:10
2747;80;1,59;1;2017-11-19 06:55
2748;600;2,74;2;2017-11-19 07:48
2749;662;2,92;3;2017-11-19 08:42
2750;505;1,07;3;2017-11-19 09:55
2751;369;3,33;2;2017-11-19 11:09
2752;388;2,16;2;2017-11-19 11:46
2753;235;0,2;1;2017-11-19 11:56
2754;239;1,56;1;2017-11-19 13:08
2755;332;3,2;3;2017-11-19 13:38
2756;122;2,82;1;2017-11-19 14:00
2757;286;3,2;1;2017-11-19 14:28
2758;588;2,49;1;2017-11-19 14:30
2759;167;3,1;3;2017-11-19 15:08
2760;597;0,42;2;2017-11-19 16:05
2761;532;0,53;3;2017-11-19 17:38
2762;545;2,99;3;2017-11-19 18:29
2763;278;3,38;2;2017-11-19 19:33
2764;51;0,09;1;2017-11-19 20:10
2765;562;1,29;1;2017-11-19 20:36
2766;681;0,82;1;2017-11-19 21:57
2767;599;2,28;2;2017-11-19 21:59
2768;149;2,48;3;2017-11-19 23:07
2769;414;2,37;1;2017-11-19 23:35
2770;26;0,98;1;2017-11-20 00:26
2771;491;2,75;2;2017-11-20 00:28
2772;520;2,18;1;2017-11-20 00:33
2773;532;3,34;2;2017-11-20 01:56
2774;127;3,01;3;2017-11-20 03:17
2775;542;1,21;1;2017-11-20 03:25
2776;480;0,11;2;2017-11-20 04:39
2777;263;3,35;1;2017-11-20 05:28
2778;20;1,33;3;2017-11-20 05:54
2779;188;2,83;1;2017-11-20 06:19
2780;201;3,09;1;2017-11-20 07:36
2781;290;0,36;2;2017-11-20 07:38
2782;459;2,88;3;2017-11-20 08:02
2783;289;2,29;2;2017-11-20 08:39
2784;327;0,91;1;2017-11-20 09:37
2785;260;2,26;1;2017-11-20 10:20
2786;27;2,24;2;2017-11-20 11:42
2787;405;0,71;1;2017-11-20 12:04
2788;664;3;2;2017-11-20 12:46
2789;194;0,83;2;2017-11-20 13:20
2790;434;1,61;1;2017-11-20 14:14
2791;630;2,86;1;2017-11-20 15:14
2792;343;2,48;3;2017-11-20 15:18
2793;657;2,39;1;2017-11-20 15:24
2794;220;2,28;2;2017-11-20 15:36
2795;31;2,76;1;2017-11-20 16:01
2796;310;0,72;1;2017-11-20 16:15
2797;627;1,37;3;2017-11-20 16:41
2798;535;2,33;3;2017-11-20 17:43
2799;244;2,02;2;2017-11-20 18:50
2800;74;2,54;2;2017-11-20 19:17
2801;659;0,57;2;2017-11-20 20:09
2802;101;0,88;3;2017-11-20 20:49
2803;579;1,15;2;2017-11-20 21:13
2804;174;2,74;3;2017-11-20 21:37
2805;164;3,18;1;2017-11-20 21:52
2806;171;1,43;1;2017-11-20 22:20
2807;226;1,98;1;2017-11-20 22:47
2808;373;0,07;2;2017-11-20 23:56
2809;83;2,35;2;2017-11-20 23:56
2810;217;1,58;2;2017-11-20 23:56
2811;631;1,6;2;2017-11-21 01:14
2812;420;0,61;1;2017-11-21 02:44
2813;519;3,38;2;2017-11-21 03:04
2814;417;1,82;3;2017-11-21 04:01
2815;95;0,98;2;2017-11-21 05:08
2816;335;2,16;1;2017-11-21 05:15
2817;406;0,1;3;2017-11-21 06:03
2818;529;3,17;2;2017-11-21 06:35
2819;251;2,28;3;2017-11-21 06:50
2820;502;1,4;2;2017-11-21 07:42
2821;551;2,71;1;2017-11-21 08:06
2822;220;2,54;1;2017-11-21 08:23
2823;609;1,77;3;2017-11-21 09:31
2824;462;0,41;1;2017-11-21 09:37
2825;87;3,27;1;2017-11-21 10:58
2826;394;2,72;2;2017-11-21 11:54
2827;248;1,87;1;2017-11-21 13:04
2828;231;3,13;1;2017-11-21 14:06
2829;131;0,73;1;2017-11-21 14:18
2830;93;1,8;2;2017-11-21 15:11
2831;99;1,96;3;2017-11-21 15:38
2832;327;1,5;3;2017-11-21 17:01
2833;108;2,99;3;2017-11-21 17:21
2834;283;0,91;2;2017-11-21 17:34
2835;474;1,8;1;2017-11-21 18:07
2836;434;2,41;2;2017-11-21 19:34
2837;517;0,7;3;2017-11-21 20:29
2838;549;0,73;2;2017-11-21 21:32
2839;99;1,45;3;2017-11-21 22:05
2840;624;1,89;1;2017-11-21 23:33
2841;466;1,18;1;2017-11-21 23:46
2842;351;1,51;3;2017-11-22 00:47
2843;126;2,68;3;2017-11-22 01:21
2844;475;3,26;2;2017-11-22 02:27
2845;614;2,21;1;2017-11-22 02:56
2846;584;2,27;3;2017-11-22 02:57
2847;403;0,74;1;2017-11-22 04:30
2848;501;1,84;2;2017-11-22 04:43
2849;442;3,27;2;2017-11-22 05:35
2850;1;1,58;2;2017-11-22 06:13
2851;265;1,86;1;2017-11-22 07:45
2852;625;2,84;3;2017-11-22 09:16
2853;328;0,39;2;2017-11-22 10:22
2854;661;3;2;2017-11-22 11:02
2855;264;2,73;1;2017-11-22 11:37
2856;373;1,21;3;2017-11-22 12:44
2857;674;2,72;1;2017-11-22 13:25
2858;475;3,21;2;2017-11-22 14:57
2859;600;0,57;3;2017-11-22 15:40
2860;543;2,04;1;2017-11-22 16:28
2861;320;1,9;3;2017-11-22 17:31
2862;79;3,26;2;2017-11-22 18:11
2863;66;2,95;1;2017-11-22 18:17
2864;214;0,77;1;2017-11-22 18:33
2865;640;2,18;1;2017-11-22 19:55
2866;92;3,1;3;2017-11-22 20:28
2867;300;3,22;3;2017-11-22 21:06
2868;219;0,39;2;2017-11-22 21:19
2869;403;2,59;2;2017-11-22 22:32
2870;443;0,67;1;2017-11-22 23:11
2871;40;3,02;1;2017-11-22 23:35
2872;538;1,09;3;2017-11-22 23:45
2873;130;2,82;3;2017-11-23 00:26
2874;427;2,05;1;2017-11-23 01:44
2875;114;0,95;3;2017-11-23 01:44
2876;623;1,54;2;2017-11-23 01:52
2877;282;0,6;1;2017-11-23 01:55
2878;647;1,83;3;2017-11-23 02:22
2879;377;3,28;3;2017-11-23 02:30
2880;456;3,23;2;2017-11-23 03:36
2881;587;3,09;3;2017-11-23 04:49
2882;530;0,11;1;2017-11-23 05:32
2883;570;1,79;2;2017-11-23 06:02
2884;102;0,18;1;2017-11-23 06:33
2885;205;0,24;3;2017-11-23 07:52
2886;13;2,04;3;2017-11-23 08:15
2887;107;2,23;3;2017-11-23 09:21
2888;115;2,08;1;2017-11-23 10:44
2889;469;1,86;2;2017-11-23 11:34
2890;613;0,34;3;2017-11-23 11:54
2891;535;0,68;1;2017-11-23 13:04
2892;188;3,2;2;2017-11-23 14:09
2893;96;0,4;1;2017-11-23 14:46
2894;456;1,66;3;2017-11-23 15:27
2895;370;1,59;2;2017-11-23 16:23
2896;508;2,24;3;2017-11-23 17:55
2897;610;1,98;2;2017-11-23 18:32
2898;340;2,07;2;2017-11-23 19:22
2899;452;2,87;2;2017-11-23 19:44
2900;262;1,45;1;2017-11-23 20:33
2901;438;1,3;2;2017-11-23 21:22
2902;491;2,64;2;2017-11-23 22:54
2903;509;3,22;1;2017-11-23 23:00
2904;603;1,89;2;2017-11-24 00:26
2905;267;1,68;3;2017-11-24 01:43
2906;410;2;2;2017-11-24 01:54
2907;124;1,73;1;2017-11-24 03:09
2908;70;0,79;3;2017-11-24 04:19
2909;402;2,38;3;2017-11-24 04:44
2910;198;3,17;2;2017-11-24 04:48
2911;221;3,24;2;2017-11-24 05:54
2912;133;1,68;3;2017-11-24 07:04
2913;226;2,03;2;2017-11-24 08:23
2914;290;0,91;1;2017-11-24 08:24
2915;184;2,85;3;2017-11-24 08:29
2916;10;3,37;1;2017-11-24 09:04
2917;558;0,56;3;2017-11-24 09:15
2918;355;2,12;3;2017-11-24 09:35
2919;417;2,35;2;2017-11-24 10:15
2920;624;0,1;3;2017-11-24 10:59
2921;684;1,1;1;2017-11-24 10:59
2922;531;1,23;2;2017-11-24 11:51
2923;494;3,32;3;2017-11-24 11:56
2924;609;1,14;2;2017-11-24 12:30
2925;14;1,59;2;2017-11-24 12:55
2926;676;2,15;1;2017-11-24 13:01
2927;525;0,68;1;2017-11-24 13:17
2928;536;0,46;2;2017-11-24 13:59
2929;673;2,91;1;2017-11-24 15:31
2930;26;2,97;1;2017-11-24 16:38
2931;431;2,76;2;2017-11-24 17:27
2932;476;3,22;1;2017-11-24 18:55
2933;138;1,8;1;2017-11-24 19:50
2934;100;3,09;3;2017-11-24 20:19
2935;679;2,64;2;2017-11-24 20:48
2936;261;0,24;3;2017-11-24 21:00
2937;320;0,8;3;2017-11-24 21:01
2938;270;2,44;1;2017-11-24 21:25
2939;165;1,23;3;2017-11-24 22:46
2940;238;3,22;3;2017-11-24 23:40
2941;283;0,3;1;2017-11-25 01:12
2942;273;0,56;3;2017-11-25 02:42
2943;478;2,96;2;2017-11-25 04:12
2944;573;1,41;2;2017-11-25 05:34
2945;419;1,3;1;2017-11-25 06:41
2946;510;2,7;3;2017-11-25 07:58
2947;269;0,9;1;2017-11-25 08:59
2948;19;2,14;2;2017-11-25 09:16
2949;214;2,15;2;2017-11-25 09:20
2950;25;3,28;1;2017-11-25 10:18
2951;333;3,3;3;2017-11-25 11:48
2952;581;1,26;2;2017-11-25 12:26
2953;87;0,74;1;2017-11-25 13:47
2954;20;0,83;3;2017-11-25 13:58
2955;258;3,37;1;2017-11-25 14:06
2956;488;1,15;2;2017-11-25 14:54
2957;115;2,47;1;2017-11-25 15:30
2958;545;0,96;3;2017-11-25 16:59
2959;592;1,71;2;2017-11-25 17:19
2960;425;3,19;3;2017-11-25 18:39
2961;685;3,28;1;2017-11-25 18:56
2962;515;1,96;1;2017-11-25 20:11
2963;513;1,51;3;2017-11-25 20:47
2964;179;3,31;3;2017-11-25 22:15
2965;459;1,36;1;2017-11-25 22:34
2966;460;3,3;1;2017-11-25 23:26
2967;275;0,02;3;2017-11-26 00:58
2968;644;2,49;1;2017-11-26 01:49
2969;5;2,45;1;2017-11-26 01:55
2970;16;2,06;2;2017-11-26 02:19
2971;342;0,14;3;2017-11-26 02:35
2972;672;2,95;1;2017-11-26 03:56
2973;494;3,11;1;2017-11-26 04:43
2974;632;2,74;3;2017-11-26 04:46
2975;498;2,45;3;2017-11-26 05:43
2976;356;2,67;2;2017-11-26 06:04
2977;535;0,17;1;2017-11-26 07:00
2978;460;1,8;3;2017-11-26 08:22
2979;543;1,59;2;2017-11-26 08:58
2980;322;1,54;1;2017-11-26 09:04
2981;276;1,68;1;2017-11-26 09:39
2982;434;1;2;2017-11-26 10:11
2983;9;1,41;3;2017-11-26 10:45
2984;275;3,33;2;2017-11-26 11:21
2985;326;2,1;2;2017-11-26 12:22
2986;73;0,59;2;2017-11-26 13:50
2987;101;3,27;3;2017-11-26 14:31
2988;429;2,18;2;2017-11-26 15:10
2989;477;1,99;3;2017-11-26 15:29
2990;40;1,09;1;2017-11-26 15:43
2991;249;1,03;2;2017-11-26 16:06
2992;392;2,42;3;2017-11-26 16:10
2993;121;2,99;2;2017-11-26 16:43
2994;487;2,98;1;2017-11-26 18:02
2995;399;2,35;3;2017-11-26 19:08
2996;322;0,7;2;2017-11-26 20:24
2997;368;0,41;1;2017-11-26 20:50
2998;351;1,06;2;2017-11-26 21:59
2999;362;2,72;2;2017-11-26 23:08
3000;243;3,3;2;2017-11-27 00:23
3001;694;2,06;1;2017-11-27 00:33
3002;302;2,96;2;2017-11-27 00:46
3003;194;2,71;3;2017-11-27 00:47
3004;488;0,54;1;2017-11-27 02:13
3005;316;1,97;2;2017-11-27 03:03
3006;374;0,27;2;2017-11-27 04:33
3007;357;2,97;1;2017-11-27 05:22
3008;485;0,61;3;2017-11-27 05:46
3009;552;0,87;2;2017-11-27 06:34
3010;449;2,04;2;2017-11-27 08:06
3011;124;1,04;3;2017-11-27 09:21
3012;458;2,39;2;2017-11-27 09:29
3013;667;1,91;2;2017-11-27 11:01
3014;656;0,42;1;2017-11-27 11:05
3015;629;2,8;1;2017-11-27 11:21
3016;692;2,78;3;2017-11-27 11:43
3017;199;2,86;3;2017-11-27 12:56
3018;423;2,32;2;2017-11-27 13:39
3019;581;1,24;3;2017-11-27 14:02
3020;623;0,31;2;2017-11-27 14:54
3021;99;2,67;3;2017-11-27 15:42
3022;90;1,74;2;2017-11-27 16:34
3023;294;0,93;1;2017-11-27 16:56
3024;105;2,67;1;2017-11-27 18:28
3025;40;1,32;3;2017-11-27 19:49
3026;232;2,29;3;2017-11-27 19:52
3027;263;0,11;3;2017-11-27 20:28
3028;67;2,52;1;2017-11-27 21:15
3029;168;3,25;1;2017-11-27 21:26
3030;128;2,11;1;2017-11-27 21:44
3031;623;1,6;3;2017-11-27 23:06
3032;691;3,09;1;2017-11-28 00:37
3033;560;1,2;1;2017-11-28 01:34
3034;301;1,1;2;2017-11-28 02:04
3035;40;1,94;3;2017-11-28 02:28
3036;105;1,38;3;2017-11-28 02:58
3037;550;0,31;2;2017-11-28 04:20
3038;488;2,99;3;2017-11-28 04:36
3039;249;1,96;3;2017-11-28 04:56
3040;184;1,21;3;2017-11-28 05:33
3041;163;1,11;2;2017-11-28 05:44
3042;582;2,37;1;2017-11-28 06:01
3043;328;1,79;3;2017-11-28 07:13
3044;136;2,18;1;2017-11-28 08:21
3045;11;1,83;1;2017-11-28 09:05
3046;261;0,1;1;2017-11-28 09:54
3047;147;2,11;3;2017-11-28 10:49
3048;247;0,83;3;2017-11-28 11:06
3049;212;0,07;1;2017-11-28 12:29
3050;179;1,42;1;2017-11-28 13:36
3051;366;2,42;3;2017-11-28 14:55
3052;567;0,66;2;2017-11-28 16:16
3053;489;2,21;2;2017-11-28 16:29
3054;155;2,76;2;2017-11-28 17:04
3055;126;2,97;3;2017-11-28 17:07
3056;614;1,86;2;2017-11-28 18:27
3057;418;1,19;1;2017-11-28 18:39
3058;91;2,87;2;2017-11-28 19:30
3059;88;1,66;2;2017-11-28 19:47
3060;46;0,83;2;2017-11-28 21:13
3061;305;2,81;2;2017-11-28 21:23
3062;248;0,09;2;2017-11-28 21:24
3063;292;1,52;3;2017-11-28 21:45
3064;581;1,29;2;2017-11-28 22:34
3065;357;3,27;2;2017-11-28 23:21
3066;491;1,03;2;2017-11-29 00:23
3067;194;1,7;2;2017-11-29 01:12
3068;209;0,34;2;2017-11-29 02:11
3069;324;2,48;2;2017-11-29 02:40
3070;416;0,19;3;2017-11-29 02:53
3071;323;3,41;1;2017-11-29 03:28
3072;28;1,66;2;2017-11-29 03:32
3073;510;3,37;3;2017-11-29 04:32
3074;128;3,12;2;2017-11-29 05:30
3075;332;2,98;2;2017-11-29 06:39
3076;453;3,28;2;2017-11-29 07:18
3077;426;0,93;2;2017-11-29 07:53
3078;328;2,89;2;2017-11-29 08:19
3079;236;1,69;3;2017-11-29 08:31
3080;61;2,05;3;2017-11-29 08:42
3081;250;0,33;3;2017-11-29 10:04
3082;77;0,07;1;2017-11-29 10:50
3083;364;1,29;1;2017-11-29 10:59
3084;315;2,78;1;2017-11-29 12:08
3085;57;2;2;2017-11-29 13:34
3086;314;3,08;3;2017-11-29 13:55
3087;681;2,9;1;2017-11-29 15:03
3088;529;1,76;2;2017-11-29 15:58
3089;495;2,53;2;2017-11-29 16:31
3090;554;3,32;3;2017-11-29 16:36
3091;248;2,49;3;2017-11-29 16:38
3092;120;2,34;3;2017-11-29 17:27
3093;513;3,37;2;2017-11-29 17:32
3094;284;0,73;1;2017-11-29 18:48
3095;609;1,31;3;2017-11-29 19:35
3096;356;2,41;3;2017-11-29 19:55
3097;581;0,51;2;2017-11-29 19:59
3098;44;2,19;1;2017-11-29 20:13
3099;223;0,78;1;2017-11-29 21:42
3100;513;0,75;3;2017-11-29 22:31
3101;76;1,81;2;2017-11-30 00:01
3102;100;0,54;1;2017-11-30 01:15
3103;611;1,37;1;2017-11-30 02:39
3104;403;0,7;3;2017-11-30 04:00
3105;397;3,04;2;2017-11-30 05:28
3106;338;1,9;2;2017-11-30 05:57
3107;558;3,32;3;2017-11-30 07:20
3108;566;3,09;3;2017-11-30 08:03
3109;363;2,5;1;2017-11-30 09:22
3110;6;0,16;2;2017-11-30 10:00
3111;670;1,86;3;2017-11-30 10:10
3112;474;3;3;2017-11-30 11:29
3113;197;1,61;2;2017-11-30 12:26
3114;666;0,08;3;2017-11-30 13:19
3115;460;1,02;1;2017-11-30 13:44
3116;666;0,61;2;2017-11-30 14:37
3117;306;0,18;2;2017-11-30 15:20
3118;594;1,1;1;2017-11-30 15:39
3119;522;1,88;2;2017-11-30 15:45
3120;233;2,44;1;2017-11-30 16:03
3121;242;1,45;2;2017-11-30 17:36
3122;354;0,95;2;2017-11-30 18:52
3123;58;0,97;3;2017-11-30 19:20
3124;295;0,64;2;2017-11-30 19:31
3125;436;2,2;1;2017-11-30 20:24
3126;597;3,19;3;2017-11-30 20:33
3127;337;1,93;1;2017-11-30 21:38
3128;86;0,73;2;2017-11-30 22:28
3129;624;3,12;2;2017-11-30 23:10
3130;419;0,36;2;2017-12-01 00:13
3131;302;1,38;3;2017-12-01 00:27
3132;422;2,63;2;2017-12-01 01:59
3133;255;1,07;2;2017-12-01 03:32
3134;143;0,73;1;2017-12-01 04:13
3135;620;2,9;2;2017-12-01 04:35
3136;569;0,03;1;2017-12-01 05:59
3137;484;2,21;1;2017-12-01 07:02
3138;352;0,62;1;2017-12-01 07:07
3139;602;0,37;3;2017-12-01 08:12
3140;560;2,72;3;2017-12-01 09:39
3141;285;1,3;2;2017-12-01 09:50
3142;603;1;3;2017-12-01 10:39
3143;145;0,51;3;2017-12-01 11:15
3144;41;0,21;1;2017-12-01 12:46
3145;670;2,59;2;2017-12-01 13:57
3146;215;1;3;2017-12-01 15:20
3147;232;3,24;1;2017-12-01 16:43
3148;533;3,26;2;2017-12-01 17:48
3149;331;0,08;3;2017-12-01 18:26
3150;397;3,31;1;2017-12-01 19:55
3151;575;2,23;3;2017-12-01 21:14
3152;595;1,22;1;2017-12-01 22:39
3153;456;0,19;1;2017-12-01 23:50
3154;205;2,04;3;2017-12-02 00:25
3155;452;3,27;2;2017-12-02 01:15
3156;286;1,17;1;2017-12-02 02:20
3157;603;3,25;2;2017-12-02 02:53
3158;117;2,88;3;2017-12-02 03:55
3159;92;1,81;3;2017-12-02 04:00
3160;415;0,22;3;2017-12-02 05:19
3161;92;2,28;1;2017-12-02 05:42
3162;27;1,03;1;2017-12-02 05:49
3163;655;2,75;2;2017-12-02 07:16
3164;598;0,05;2;2017-12-02 08:45
3165;83;3,01;3;2017-12-02 08:55
3166;109;2,58;3;2017-12-02 10:04
3167;454;2,61;3;2017-12-02 11:32
3168;310;1,74;1;2017-12-02 11:56
3169;83;0,56;3;2017-12-02 13:02
3170;7;0,39;1;2017-12-02 14:15
3171;476;2,23;3;2017-12-02 15:23
3172;116;3,15;3;2017-12-02 16:53
3173;255;0,23;2;2017-12-02 18:13
3174;310;1,06;1;2017-12-02 19:33
3175;501;0,39;3;2017-12-02 20:58
3176;31;2,27;1;2017-12-02 21:27
3177;333;3,11;3;2017-12-02 21:43
3178;106;2,05;2;2017-12-02 23:15
3179;183;2,83;2;2017-12-02 23:54
3180;239;2,75;2;2017-12-02 23:59
3181;263;0,56;3;2017-12-03 00:07
3182;135;0,45;1;2017-12-03 01:12
3183;674;1,69;2;2017-12-03 02:21
3184;142;1,02;2;2017-12-03 02:50
3185;441;3,13;2;2017-12-03 03:51
3186;441;0,61;3;2017-12-03 04:26
3187;280;0,02;2;2017-12-03 05:03
3188;10;3,36;2;2017-12-03 06:37
3189;208;1,7;1;2017-12-03 07:41
3190;95;1,41;2;2017-12-03 09:12
3191;257;3,39;2;2017-12-03 09:22
3192;236;1,25;3;2017-12-03 10:05
3193;118;0,22;1;2017-12-03 10:49
3194;440;1,4;3;2017-12-03 12:11
3195;376;1,52;3;2017-12-03 13:38
3196;660;2,6;2;2017-12-03 14:28
3197;463;2,22;2;2017-12-03 14:28
3198;427;2,3;1;2017-12-03 15:47
3199;140;0,01;2;2017-12-03 16:23
3200;682;1,78;3;2017-12-03 16:28
3201;321;0,35;3;2017-12-03 17:08
3202;411;2,34;3;2017-12-03 18:21
3203;519;0,83;2;2017-12-03 19:19
3204;440;3,11;2;2017-12-03 20:09
3205;113;1,43;2;2017-12-03 20:47
3206;543;0,87;2;2017-12-03 21:05
3207;612;2,76;1;2017-12-03 21:28
3208;499;2,73;3;2017-12-03 21:38
3209;469;2,13;3;2017-12-03 22:06
3210;181;2,6;2;2017-12-03 23:17
3211;436;1,31;1;2017-12-03 23:51
3212;24;1,69;3;2017-12-04 00:14
3213;495;2,99;1;2017-12-04 01:29
3214;456;2,41;2;2017-12-04 02:52
3215;125;2,42;1;2017-12-04 04:19
3216;518;3,06;3;2017-12-04 05:43
3217;188;0,92;2;2017-12-04 06:06
3218;650;1,63;3;2017-12-04 06:20
3219;480;0,49;1;2017-12-04 07:08
3220;458;2,43;1;2017-12-04 07:53
3221;423;2,17;2;2017-12-04 09:25
3222;303;0,25;3;2017-12-04 10:52
3223;347;1,32;3;2017-12-04 12:11
3224;359;2,93;3;2017-12-04 12:51
3225;414;2,17;1;2017-12-04 13:54
3226;340;2,23;2;2017-12-04 14:27
3227;108;1,66;2;2017-12-04 15:48
3228;165;3,01;3;2017-12-04 16:15
3229;501;0,36;2;2017-12-04 17:33
3230;96;1;3;2017-12-04 18:39
3231;137;2;2;2017-12-04 19:55
3232;307;1,43;3;2017-12-04 20:48
3233;648;2,45;1;2017-12-04 21:12
3234;636;1,78;3;2017-12-04 21:17
3235;621;0,47;1;2017-12-04 22:19
3236;469;3,31;1;2017-12-04 22:55
3237;664;2,8;2;2017-12-04 23:11
3238;438;1,54;3;2017-12-04 23:24
3239;173;0,67;2;2017-12-04 23:36
3240;639;1,18;2;2017-12-05 00:47
3241;106;1,17;2;2017-12-05 01:50
3242;404;2,28;2;2017-12-05 02:53
3243;423;0,19;1;2017-12-05 03:23
3244;396;2,76;1;2017-12-05 04:50
3245;64;0,12;1;2017-12-05 05:46
3246;402;2,51;2;2017-12-05 06:22
3247;225;2;1;2017-12-05 06:22
3248;246;3,08;2;2017-12-05 06:35
3249;416;1,53;1;2017-12-05 06:49
3250;167;1,79;1;2017-12-05 07:10
3251;141;2,7;3;2017-12-05 07:30
3252;329;2,37;3;2017-12-05 08:49
3253;49;0,59;2;2017-12-05 09:02
3254;42;3,16;3;2017-12-05 09:03
3255;139;2,47;2;2017-12-05 09:39
3256;224;0,39;3;2017-12-05 10:13
3257;229;0,08;3;2017-12-05 11:11
3258;637;2,81;3;2017-12-05 11:58
3259;411;0,12;2;2017-12-05 13:31
3260;365;0,97;1;2017-12-05 13:41
3261;618;1,48;1;2017-12-05 15:07
3262;668;0,22;1;2017-12-05 15:15
3263;532;1,67;3;2017-12-05 16:10
3264;655;3,38;1;2017-12-05 16:27
3265;525;2,52;3;2017-12-05 17:55
3266;336;2,55;3;2017-12-05 18:48
3267;489;1,44;1;2017-12-05 19:48
3268;357;3,1;3;2017-12-05 20:09
3269;62;0,13;2;2017-12-05 20:15
3270;342;2,47;1;2017-12-05 20:32
3271;339;1,55;3;2017-12-05 20:54
3272;97;2,33;3;2017-12-05 22:24
3273;3;2,32;3;2017-12-05 23:05
3274;91;0,84;1;2017-12-06 00:12
3275;63;1,4;3;2017-12-06 00:45
3276;401;3,07;1;2017-12-06 00:55
3277;278;2,26;1;2017-12-06 01:57
3278;600;0,35;3;2017-12-06 02:35
3279;168;3,4;3;2017-12-06 02:40
3280;238;1,14;1;2017-12-06 04:11
3281;473;3,12;1;2017-12-06 04:17
3282;681;1,93;1;2017-12-06 05:45
3283;11;3,14;2;2017-12-06 06:18
3284;474;3,31;3;2017-12-06 07:24
3285;95;1,27;2;2017-12-06 08:31
3286;145;1,81;3;2017-12-06 08:53
3287;229;3,21;2;2017-12-06 09:40
3288;545;0,25;3;2017-12-06 10:25
3289;36;0,48;1;2017-12-06 11:50
3290;27;1,95;3;2017-12-06 12:44
3291;278;3,37;3;2017-12-06 13:56
3292;641;1,41;3;2017-12-06 14:58
3293;277;2,25;2;2017-12-06 15:38
3294;643;1,61;2;2017-12-06 15:51
3295;672;2,62;3;2017-12-06 16:08
